City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Esperance,31,AU,1659929701,63,-33.8667,121.9,62.67,19.19
Albany,0,US,1659929818,88,42.6001,-73.9662,77.41,3.04
Muros,3,ES,1659930309,94,42.7762,-9.0603,63.68,4.5
Thompson,75,CA,1659930022,88,55.7435,-97.8558,64.56,3.44
Hilo,40,US,1659929966,77,19.7297,-155.09,84.27,5.75
Port Lincoln,0,AU,1659930309,55,-34.7333,135.8667,57.83,3.74
Ushuaia,20,AR,1659929974,65,-54.8,-68.3,37.06,3.44
Bethel,20,US,1659929960,88,41.3712,-73.414,80.96,0.0
Coquimbo,0,CL,1659930310,81,-29.9533,-71.3436,51.53,3.44
Vaini,20,TO,1659929758,89,-21.2,-175.2,80.76,10.36
Dikson,100,RU,1659930020,100,73.5069,80.5464,41.94,4.36
Kollegāl,100,IN,1659930310,82,12.15,77.1167,73.24,14.63
Bredasdorp,100,ZA,1659930035,88,-34.5322,20.0403,57.29,2.98
Bambanglipuro,79,ID,1659930311,68,-7.95,110.2833,81.46,10.67
Kapaa,75,US,1659929804,78,22.0752,-159.319,81.12,10.36
Dwārka,94,IN,1659930046,83,22.2394,68.9678,83.23,11.14
Souillac,40,MU,1659929978,94,-20.5167,57.5167,62.98,4.61
Puerto Ayora,41,EC,1659929995,97,-0.7393,-90.3518,67.55,5.99
Karatuzskoye,97,RU,1659930312,49,53.6072,92.8667,70.5,0.43
Xiaoweizhai,70,CN,1659930312,64,26.1903,107.5125,83.98,7.63
Bluff,17,NZ,1659929970,57,-46.6,168.3333,41.81,21.65
Khatanga,69,RU,1659929951,55,71.9667,102.5,61.41,9.42
Busselton,98,AU,1659929979,78,-33.65,115.3333,55.33,20.89
New Norfolk,3,AU,1659929995,42,-42.7826,147.0587,53.92,2.08
Atuona,16,PF,1659929977,75,-9.8,-139.0333,76.86,15.64
Ponta do Sol,0,PT,1659930019,83,32.6667,-17.1,72.01,3.69
Chokurdakh,97,RU,1659929983,29,70.6333,147.9167,65.43,17.18
Rikitea,100,PF,1659929929,77,-23.1203,-134.9692,70.32,36.93
Yangcun,99,CN,1659930313,50,39.3639,117.0603,80.58,13.82
Pisco,6,PE,1659929815,82,-13.7,-76.2167,58.01,5.75
Nikolskoye,100,RU,1659929975,77,59.7035,30.7861,60.87,3.65
Morris,40,US,1659930281,77,40.8334,-74.5329,82.45,1.01
Jinchang,16,CN,1659930314,47,38.4953,102.1739,77.38,5.82
Lompoc,0,US,1659929980,84,34.6391,-120.4579,66.34,12.66
Hobart,20,AU,1659929929,69,-42.8794,147.3294,54.27,8.05
Farim,100,GW,1659930315,99,12.4839,-15.2217,71.87,2.33
Cherskiy,44,RU,1659929778,47,68.75,161.3,52.5,6.49
Malbork,80,PL,1659930315,77,54.0359,19.0266,59.11,1.77
Coahuayana Viejo,82,MX,1659930315,87,18.7333,-103.6833,77.94,1.52
Mahébourg,40,MU,1659929872,94,-20.4081,57.7,66.25,4.61
Barrow,100,US,1659929956,81,71.2906,-156.7887,44.62,18.41
Carnarvon,0,AU,1659929769,58,-24.8667,113.6333,68.11,11.7
Lebu,84,CL,1659929984,88,-37.6167,-73.65,45.41,8.97
Butaritari,92,KI,1659929713,75,3.0707,172.7902,81.7,12.15
Taltal,1,CL,1659930021,58,-25.4,-70.4833,59.47,4.05
Longyearbyen,75,SJ,1659929788,87,78.2186,15.6401,46.24,8.05
Yar-Sale,0,RU,1659930320,48,66.8333,70.8333,78.12,11.14
Yellowknife,75,CA,1659929739,88,62.456,-114.3525,61.32,3.44
Porto-Novo,100,BJ,1659930321,85,6.4965,2.6036,75.02,8.08
Kwang Binh,100,VN,1659930321,73,17.4833,106.6,86.16,10.98
Bambous Virieux,40,MU,1659929966,94,-20.3428,57.7575,67.21,4.61
Hobyo,15,SO,1659930004,79,5.3505,48.5268,76.19,23.82
Lata,0,PT,1659929987,90,40.1629,-8.3327,59.22,0.43
Natá,100,PA,1659930322,91,8.3333,-80.5167,76.26,1.68
Kavaratti,99,IN,1659929948,83,10.5669,72.642,80.78,24.63
Chekmagush,94,RU,1659930322,67,55.1319,54.6556,70.7,3.91
Cape Town,75,ZA,1659929945,90,-33.9258,18.4232,56.12,5.75
Mitú,22,CO,1659930043,98,1.1983,-70.1733,71.08,1.3
Kodinsk,19,RU,1659930323,55,58.6881,99.1844,71.33,4.79
Nakhon Phanom,96,TH,1659930323,73,17.3333,104.4167,82.2,4.05
Port Augusta,0,AU,1659930323,32,-32.5,137.7667,63.82,5.59
Punta Arenas,20,CL,1659929978,87,-53.15,-70.9167,35.71,12.66
Chui,6,UY,1659929713,88,-33.6971,-53.4616,47.16,7.23
Cabo San Lucas,88,MX,1659929873,75,22.8909,-109.9124,85.51,2.37
Ouadda,94,CF,1659930324,98,8.0777,22.4007,66.81,2.89
Sibolga,74,ID,1659930325,62,1.7427,98.7792,85.01,4.23
Karasuk,64,RU,1659930325,58,53.7377,78.0403,68.99,11.72
Santa Rosa,100,PH,1659930325,73,14.3122,121.1114,83.01,3.15
Mataura,7,NZ,1659929732,69,-46.1927,168.8643,41.49,9.44
Rizhao,99,CN,1659930326,76,35.4275,119.4553,88.81,5.84
Saint-Philippe,0,RE,1659930028,79,-21.3585,55.7679,67.59,5.53
Derzhavīnsk,81,KZ,1659930326,55,51.1,66.3167,71.11,11.95
Hualmay,43,PE,1659930327,85,-11.0964,-77.6139,60.93,9.04
Hermanus,41,ZA,1659929701,84,-34.4187,19.2345,56.07,5.06
Jamestown,0,US,1659929719,65,42.097,-79.2353,78.39,8.05
Cidreira,100,BR,1659929988,94,-30.1811,-50.2056,58.64,15.64
Adrar,54,MR,1659930056,30,20.5022,-10.0711,94.53,9.15
Chestermere,20,CA,1659930327,31,51.0334,-113.8187,77.67,8.05
Comodoro Rivadavia,40,AR,1659930302,93,-45.8667,-67.5,39.06,5.75
Manta,100,EC,1659930035,88,-0.95,-80.7333,69.58,10.36
Rundu,0,NA,1659930328,40,-17.9333,19.7667,56.12,5.37
Bonthe,85,SL,1659930328,87,7.5264,-12.505,75.61,7.9
Kilindoni,52,TZ,1659930329,74,-7.9139,39.6668,74.8,14.52
Kaitangata,37,NZ,1659929965,58,-46.2817,169.8464,42.48,12.91
Upernavik,100,GL,1659929982,82,72.7868,-56.1549,41.58,3.65
Laas,96,IT,1659929994,90,46.6166,10.7002,55.36,2.95
Namatanai,54,PG,1659929989,73,-3.6667,152.4333,82.76,7.7
Znamenskoye,98,RU,1659930329,57,57.1281,73.8282,67.6,8.9
Los Llanos de Aridane,75,ES,1659929904,83,28.6585,-17.9182,65.95,13.8
Port Elizabeth,20,ZA,1659929816,99,-33.918,25.5701,59.09,11.5
Leningradskiy,99,RU,1659930113,95,69.3833,178.4167,32.9,19.64
Agadir,0,MA,1659930330,75,30.4202,-9.5982,64.85,2.62
Mbandaka,23,CD,1659930330,92,0.0487,18.2603,69.62,3.18
Bissau,40,GW,1659930331,100,11.8636,-15.5977,77.11,2.3
Airai,41,TL,1659929730,45,-8.9266,125.4092,75.22,5.7
Boa Vista,0,BR,1659930114,69,2.8197,-60.6733,82.38,4.61
Villaviciosa,57,ES,1659930098,96,43.4813,-5.4357,67.62,4.7
Toora-Khem,100,RU,1659930029,29,52.4675,96.11,72.03,2.13
Beipiao,98,CN,1659930332,37,41.7919,120.7792,79.16,9.24
Usinsk,2,RU,1659930075,55,65.9939,57.5281,73.36,13.98
Chapais,81,CA,1659930259,72,49.7834,-74.8492,51.58,4.12
Palmer,20,US,1659930332,80,42.1584,-72.3287,79.25,10.36
Taber,0,CA,1659930332,68,49.8167,-112.1518,69.82,6.91
Katsuura,47,JP,1659930036,76,35.1333,140.3,84.6,18.75
Coihueco,100,CL,1659930333,93,-36.6167,-71.8333,45.34,3.44
Tuktoyaktuk,40,CA,1659929973,76,69.4541,-133.0374,51.8,10.36
Auki,100,SB,1659930038,85,-8.7676,160.7034,79.68,5.01
Srednekolymsk,74,RU,1659930333,31,67.45,153.6833,72.9,14.36
Lamu,46,KE,1659930334,76,-2.2717,40.902,71.82,13.73
George Town,20,MY,1659929983,66,5.4112,100.3354,89.55,10.36
Pau Brasil,9,BR,1659930334,97,-15.4642,-39.6511,62.55,1.81
Arraial do Cabo,98,BR,1659929963,88,-22.9661,-42.0278,70.12,4.88
Tuatapere,13,NZ,1659929823,69,-46.1333,167.6833,41.88,12.15
Nantucket,0,US,1659930107,93,41.2835,-70.0995,79.0,13.8
East London,75,ZA,1659930049,100,-33.0153,27.9116,58.14,33.38
Ribeira Grande,18,PT,1659929715,81,38.5167,-28.7,74.52,15.19
Miraflores,100,MX,1659930335,87,19.2167,-98.8083,59.65,2.26
Sangar,60,RU,1659930120,60,63.9242,127.4739,63.52,2.17
Gornopravdinsk,65,RU,1659930336,48,60.05,69.9,75.4,3.42
Hithadhoo,100,MV,1659929999,70,-0.6,73.0833,81.3,1.74
Tānsen,41,NP,1659930336,67,27.8673,83.5467,78.73,3.76
Lavrentiya,100,RU,1659929974,76,65.5833,-171.0,38.59,12.77
Pangnirtung,97,CA,1659930032,93,66.1451,-65.7125,42.08,1.21
Purpe,43,RU,1659930337,55,64.4803,76.6897,76.69,10.58
Dongsheng,100,CN,1659930337,71,39.8161,109.9776,67.01,19.48
Bonavista,92,CA,1659930337,92,48.6499,-53.1147,66.25,20.94
Beyneu,75,KZ,1659930337,18,45.3167,55.2,85.12,6.44
Ulaanbaatar,40,MN,1659930338,48,47.9077,106.8832,66.33,4.47
Bara,100,NG,1659930338,94,10.3744,10.7288,72.77,7.18
Saurimo,63,AO,1659930338,39,-9.6608,20.3916,56.08,5.26
Rantepao,87,ID,1659930339,81,-2.9701,119.8978,75.92,3.51
St. George's,40,GD,1659930339,89,12.0564,-61.7485,80.28,0.0
Tirumullaivāsal,100,IN,1659930339,59,11.2333,79.8333,85.33,22.48
Saskylakh,100,RU,1659929981,54,71.9167,114.0833,58.41,9.8
San Patricio,93,US,1659930043,73,28.017,-97.5169,85.86,12.24
Fortuna,0,US,1659929991,88,40.5982,-124.1573,63.09,8.05
Laguna,0,US,1659929920,54,38.421,-121.4238,81.61,14.97
Obihiro,100,JP,1659930340,93,42.9172,143.2044,74.61,1.77
Camacha,40,PT,1659929967,73,33.0833,-16.3333,67.42,10.36
Sørland,100,NO,1659930036,81,67.667,12.6934,52.16,8.32
Touros,19,BR,1659929813,86,-5.1989,-35.4608,72.25,12.75
Ambilobe,4,MG,1659930341,75,-13.2,49.05,64.4,3.13
Kavieng,27,PG,1659930039,74,-2.5744,150.7967,83.37,12.46
Codrington,8,AU,1659929801,55,-38.2667,141.9667,54.9,3.36
Aquidauana,100,BR,1659930341,92,-20.4711,-55.7872,69.49,0.4
Vostok,94,RU,1659930102,94,46.4856,135.8833,69.35,6.11
Saint George,0,US,1659929909,16,37.1041,-113.5841,95.95,6.91
Mauguio,0,FR,1659930342,52,43.6181,4.0074,74.34,5.75
Umuahia,100,NG,1659930342,96,5.5263,7.4896,71.94,2.98
Mawlaik,100,MM,1659930343,99,23.6333,94.4167,76.64,0.92
Meulaboh,95,ID,1659930109,69,4.1363,96.1285,83.52,3.62
Bumba,99,CD,1659930343,98,2.1833,22.4667,69.73,2.8
Peterhead,100,GB,1659930343,87,57.5058,-1.7981,57.6,6.08
Smithers,20,CA,1659930325,33,54.7804,-127.1743,71.92,14.97
Pinega,72,RU,1659930344,66,64.7001,43.3936,59.72,8.19
Fairbanks,100,US,1659930039,69,64.8378,-147.7164,58.96,5.75
Marrakesh,0,MA,1659930092,73,31.6315,-8.0083,68.07,4.61
Lucknow,40,IN,1659930344,89,26.85,80.9167,87.78,2.3
Manono,0,CD,1659930345,34,-7.3,27.4167,68.11,4.9
Port Macquarie,27,AU,1659930203,69,-31.4333,152.9167,60.89,15.35
Pitsunda,15,GE,1659930345,76,43.1592,40.3378,71.78,5.68
Fes,0,MA,1659930308,88,34.0372,-4.9998,64.65,3.44
Makokou,45,GA,1659930346,97,0.5738,12.8642,67.59,2.82
Sambava,5,MG,1659930309,82,-14.2667,50.1667,66.04,8.05
Motygino,72,RU,1659930346,61,58.1831,94.7592,69.6,2.64
Chake Chake,96,TZ,1659930346,81,-5.2459,39.7666,71.38,8.16
Isla Mujeres,91,MX,1659930347,83,21.2311,-86.731,77.16,8.99
Hearst,93,CA,1659930347,74,49.6835,-83.6665,53.85,3.91
Svetlaya,100,RU,1659930347,94,46.5389,138.3297,71.02,4.03
Luena,0,AO,1659930348,36,-11.7833,19.9167,50.43,4.09
Bengkulu,12,ID,1659930064,63,-3.8004,102.2655,85.14,7.2
Aasiaat,100,GL,1659930348,97,68.7098,-52.8699,37.9,4.03
Innisfail,93,AU,1659930311,82,-17.5333,146.0333,70.7,9.86
Russell,0,US,1659930328,94,32.3502,-85.1999,76.23,3.44
Avarua,40,CK,1659930020,73,-21.2078,-159.775,73.45,14.97
Dunmore Town,29,BS,1659930349,75,25.5,-76.65,82.92,14.43
Antalaha,16,MG,1659930349,84,-14.9003,50.2788,65.75,6.31
Beloha,11,MG,1659930039,93,-25.1667,45.05,61.9,7.99
Castro,100,BR,1659930003,96,-24.7911,-50.0119,56.25,6.78
Araçuaí,51,BR,1659930350,69,-16.8497,-42.0703,67.98,2.13
Palmas de Monte Alto,78,BR,1659930350,67,-14.2672,-43.1619,70.18,5.55
Natal,40,BR,1659930090,94,-5.795,-35.2094,73.62,4.61
Atasū,99,KZ,1659930351,34,48.6814,71.6433,72.63,7.85
Faya,27,SA,1659930038,71,18.3851,42.4509,64.51,2.44
Zyryanka,44,RU,1659930351,42,65.75,150.85,80.65,11.63
Port Alfred,88,ZA,1659929713,99,-33.5906,26.891,57.18,1.01
Tiksi,100,RU,1659929722,94,71.6872,128.8694,51.31,8.84
Ust-Maya,98,RU,1659930119,50,60.4167,134.5333,68.95,9.8
Escárcega,100,MX,1659930352,99,18.6089,-90.7454,69.58,3.65
Mbaïki,98,CF,1659930111,98,3.8678,17.9892,67.26,1.43
Torbay,100,CA,1659929871,91,47.6666,-52.7314,69.58,21.85
Nome,100,US,1659930008,77,64.5011,-165.4064,51.87,16.11
Husavik,17,IS,1659929952,83,66.0449,-17.3389,48.24,13.2
Agua Blanca Sur,96,HN,1659930353,98,15.25,-87.8833,76.75,1.34
Shenzhen,43,CN,1659929602,75,22.5455,114.0683,85.86,11.01
Mayo,0,US,1659930032,88,38.8876,-76.5119,83.17,6.91
Tazovsky,12,RU,1659930184,68,67.4667,78.7,69.1,9.33
Berlevåg,75,NO,1659930354,93,70.8578,29.0864,50.0,18.41
Hamilton,20,US,1659929803,87,39.1834,-84.5333,78.78,10.36
Isangel,75,VU,1659930029,74,-19.55,169.2667,82.51,6.91
Pathein,100,MM,1659930080,93,16.7833,94.7333,77.32,7.27
Ancud,5,CL,1659930354,89,-41.8697,-73.8203,39.02,3.58
Mopipi,58,BW,1659930355,36,-21.1833,24.8833,60.44,7.25
Plettenberg Bay,99,ZA,1659930109,85,-34.0527,23.3716,58.95,7.63
Hasaki,52,JP,1659930007,77,35.7333,140.8333,95.29,22.75
Aswān,0,EG,1659930355,27,24.0934,32.907,88.9,9.22
Carnduff,0,CA,1659930324,73,49.1667,-101.8009,58.37,8.03
Ketchikan,100,US,1659930053,72,55.3422,-131.6461,61.27,6.91
Frontera,5,MX,1659930356,39,26.9333,-101.45,85.66,19.82
Saint Anthony,100,US,1659930022,94,45.0205,-93.218,65.48,11.5
Andenes,75,NO,1659930225,81,69.3143,16.1194,49.98,11.5
Macia,1,MZ,1659930357,77,-25.0269,33.0989,63.45,8.23
Provideniya,75,RU,1659930056,60,64.3833,-173.3,41.36,15.99
Genhe,24,CN,1659930357,31,50.7833,121.5167,68.99,15.37
Hvide Sande,78,DK,1659930358,86,56.0045,8.1294,56.08,6.78
Labuhan,14,ID,1659930358,58,-6.8844,112.2051,86.58,1.86
Menzel Kamel,0,TN,1659930358,61,35.6248,10.6673,81.84,4.61
Luganville,23,VU,1659930358,75,-15.5333,167.1667,82.06,4.79
Saint Paul Harbor,0,US,1659930003,52,57.79,-152.4072,65.71,6.91
Kahului,20,US,1659929933,59,20.8947,-156.47,89.62,19.57
Iqaluit,75,CA,1659929986,86,63.7506,-68.5145,41.7,3.44
Ilulissat,100,GL,1659930077,93,69.2167,-51.1,42.82,3.44
Vardø,75,NO,1659930069,87,70.3705,31.1107,49.98,12.66
Severo-Kuril'sk,50,RU,1659930000,86,50.6789,156.125,59.52,1.16
Xixiang,100,CN,1659930359,60,35.1628,112.865,95.32,11.77
Kolyvan',86,RU,1659930360,72,55.3053,82.7391,67.62,8.37
Bilma,4,NE,1659930042,37,18.6853,12.9164,89.47,7.34
Chippewa Falls,100,US,1659930360,92,44.9369,-91.3929,71.78,5.75
Kédougou,92,SN,1659930361,97,12.5579,-12.1743,73.38,4.56
Vestmanna,100,FO,1659930361,100,62.1564,-7.1664,52.72,12.66
Narsaq,10,GL,1659930014,72,60.9167,-46.05,41.22,4.21
Port Hedland,40,AU,1659930361,16,-20.3167,118.5667,80.65,9.22
Kiama,53,AU,1659930362,58,-34.6833,150.8667,61.25,15.55
Northam,0,GB,1659930362,78,51.0333,-4.2167,56.39,2.39
Nanortalik,43,GL,1659929772,77,60.1432,-45.2371,44.83,3.0
Bandarbeyla,29,SO,1659929811,61,9.4942,50.8122,77.97,29.12
Tha Mai,100,TH,1659930363,100,12.6214,102.0048,81.97,9.33
Deputatsky,100,RU,1659930037,81,69.3,139.9,54.12,3.27
Alice Springs,3,AU,1659930026,21,-23.7,133.8833,70.21,11.5
Kuito,0,AO,1659930363,41,-12.3833,16.9333,49.12,2.35
Katobu,94,ID,1659930364,66,-4.9408,122.5276,84.78,2.98
Mossamedes,40,AO,1659929721,92,-15.1961,12.1522,59.47,1.36
Turbat,81,PK,1659930364,61,26.0023,63.044,87.6,1.72
Agadez,48,NE,1659930364,19,19.75,10.25,89.13,7.83
Tilichiki,97,RU,1659930365,61,60.4667,166.1,63.75,5.61
Rawson,100,AR,1659929987,91,-43.3002,-65.1023,42.98,2.26
Katangli,100,RU,1659930365,98,51.7102,143.2326,53.11,18.43
Černá Hora,100,CZ,1659930365,65,49.4136,16.5814,61.84,6.4
College,75,US,1659930070,68,64.8569,-147.8028,58.95,5.75
Yaan,100,NG,1659930099,98,7.3833,8.5667,71.26,5.99
Grass Valley,0,US,1659930366,51,39.2191,-121.0611,77.67,1.99
Kloulklubed,92,PW,1659930105,79,7.0419,134.2556,82.9,17.65
Manakara,6,MG,1659930366,92,-22.1333,48.0167,61.74,3.67
Klaksvík,100,FO,1659930367,99,62.2266,-6.589,54.52,8.3
Pangai,20,TO,1659930367,83,-19.8,-174.35,80.71,11.5
Baracoa,85,CU,1659930367,87,20.3467,-74.4958,80.73,12.15
Östersund,18,SE,1659930368,100,63.1792,14.6357,47.61,2.3
Wahiawā,0,US,1659930368,62,21.5028,-158.0236,82.15,11.5
Cumana,57,VE,1659930368,86,10.4635,-64.1775,77.59,5.95
Belmonte,11,BR,1659930369,77,-15.8631,-38.8828,71.31,7.72
Kismayo,46,SO,1659930369,76,-0.3582,42.5454,75.13,15.84
Sitka,100,US,1659929723,82,57.0531,-135.33,57.09,0.0
Nouadhibou,1,MR,1659930370,88,20.931,-17.0347,73.38,12.66
Sarkand,96,KZ,1659930370,28,45.41,79.9186,82.0,5.41
Paris,0,FR,1659930370,67,48.8534,2.3488,63.14,9.22
Umm Kaddadah,69,SD,1659930371,62,13.6017,26.6876,80.51,9.1
Qaanaaq,7,GL,1659929743,54,77.484,-69.3632,36.97,7.58
Karasjok,99,NO,1659930371,81,69.4719,25.5112,49.95,14.2
Kita,3,ML,1659930372,93,13.0349,-9.4895,73.94,2.82
São Filipe,91,CV,1659930025,86,14.8961,-24.4956,78.96,5.21
Ulladulla,12,AU,1659930131,56,-35.35,150.4667,57.4,10.04
Chicama,38,PE,1659930101,86,-7.8447,-79.1469,57.74,5.64
Mount Gambier,89,AU,1659929928,63,-37.8333,140.7667,54.95,4.29
Torphins,100,GB,1659930372,83,57.1056,-2.624,56.44,1.43
Amapá,60,BR,1659930050,99,1.0,-52.0,69.91,2.1
Bathsheba,75,BB,1659929974,97,13.2167,-59.5167,81.21,19.57
Avera,97,US,1659930373,79,33.194,-82.5271,75.54,3.06
Luangwa,0,ZM,1659930374,64,-15.6167,30.4167,56.41,0.6
Salalah,100,OM,1659929868,100,17.0151,54.0924,75.29,8.05
Chapleau,34,CA,1659930374,80,47.8405,-83.4034,51.96,4.88
Te Kauwhata,29,NZ,1659930374,84,-37.4,175.15,59.27,2.98
Kenai,75,US,1659930064,76,60.5544,-151.2583,57.02,21.85
Vatne,96,NO,1659930375,92,62.5667,6.65,54.84,3.4
Plouzané,0,FR,1659930375,91,48.3833,-4.6167,59.05,10.36
Thanh Hoa,100,VN,1659930376,74,19.8,105.7667,86.27,7.23
Sergach,60,RU,1659930376,58,55.5308,45.4661,71.11,2.71
Vilhena,69,BR,1659930376,86,-12.7406,-60.1458,68.83,2.26
Qobustan,24,AZ,1659930377,51,40.0824,49.412,81.41,17.69
